timestamp,tp9,af7,af8,tp10
1767330430.9169047,786.025146484375,811.603515625,751.8616943359375,931.2640991210938
1767330430.920811,761.5089111328125,770.27099609375,740.4443359375,826.030029296875
1767330430.9247172,672.7369995117188,669.90478515625,715.5740966796875,543.3406372070312
1767330430.9286234,680.43701171875,687.7830810546875,720.3533935546875,586.2662353515625
1767330430.8802805,766.7307739257812,786.9987182617188,740.9754028320312,870.7257690429688
1767330430.8841867,776.6434936523438,786.5562133789062,739.559326171875,886.7454223632812
1767330430.888093,694.5095825195312,689.3761596679688,718.1407470703125,597.1525268554688
1767330430.8919992,663.7978515625,663.620849609375,706.1923828125,525.1083374023438
1767330430.8959055,743.8076171875,765.1376342773438,734.5144653320312,791.2470092773438
1767330430.8998117,792.7516479492188,802.7528686523438,756.1099853515625,911.5272216796875
1767330430.903718,719.0258178710938,713.2728881835938,726.1063232421875,688.2255859375
1767330430.9076242,661.1426391601562,663.7093505859375,709.9981689453125,507.9381103515625
1767330430.9115305,718.6718139648438,733.4523315429688,728.5845336914062,707.1659545898438
1767330430.9154367,789.5654296875,798.7700805664062,746.2857666015625,934.0963134765625
1767330430.919343,746.4627685546875,744.7811889648438,731.4166870117188,767.0847778320312
1767330430.9232492,666.6300659179688,665.4794311523438,708.4935302734375,504.5748596191406
1767330430.9271555,697.69580078125,702.9176635742188,722.4775390625,620.07568359375
1767330430.9310617,775.846923828125,783.989501953125,745.666259765625,905.1547241210938
1767330430.9084024,765.0491333007812,773.5457763671875,739.1167602539062,843.2002563476562
1767330430.9123087,677.516357421875,688.1370849609375,718.4947509765625,554.5809936523438
1767330430.916215,673.8875732421875,689.6417236328125,728.7615356445312,541.4819946289062
1767330430.9201212,757.880126953125,766.6422729492188,754.6939086914062,829.4817504882812
1767330430.9240274,772.0411376953125,781.8653564453125,750.6226196289062,918.9617309570312
1767330430.9279337,698.5808715820312,706.7234497070312,736.5501098632812,639.0160522460938
1767330430.93184,652.7345581054688,661.1426391601562,730.26611328125,506.6105041503906
1767330430.9357462,717.7867431640625,723.7166748046875,749.8260498046875,758.4996337890625
1767330430.9396524,774.0767822265625,798.06201171875,768.7664184570312,925.7767333984375
